          397         101
   0.2424400       5.000000       6514562.       20000.00    
   0.9448276      0.9447447      0.9446841      0.9446744      0.9446810    
   0.9446797      0.9446444      0.9445797      0.9444962      0.9444414    
   0.9444637      0.9444572      0.9444640      0.9445097      0.9446020    
   0.9447144      0.9449785      0.9452948      0.9452844      0.9451073    
   0.9454558      0.9457973      0.9457665      0.9456190      0.9456552    
   0.9462008      0.9470247      0.9473292      0.9472215      0.9474592    
   0.9479533      0.9486665      0.9495505      0.9504174      0.9509424    
   0.9510333      0.9519185      0.9529433      0.9534099      0.9539155    
   0.9547780      0.9555219      0.9562050      0.9570000      0.9577539    
   0.9586260      0.9594496      0.9602162      0.9611600      0.9619408    
   0.9627253      0.9636214      0.9644960      0.9654354      0.9664437    
   0.9674828      0.9685060      0.9694066      0.9705039      0.9718589    
   0.9732420      0.9745970      0.9759212      0.9772025      0.9784337    
   0.9795834      0.9807128      0.9818171      0.9828521      0.9837765    
   0.9846357      0.9854478      0.9861060      0.9865636      0.9868034    
   0.9867945      0.9865146      0.9859952      0.9851874      0.9840929    
   0.9827315      0.9810885      0.9789329      0.9764871      0.9740747    
   0.9712151      0.9679104      0.9642809      0.9604250      0.9568898    
   0.9535054      0.9496946      0.9457529      0.9422410      0.9388375    
   0.9352325      0.9315946      0.9280618      0.9246288      0.9211714    
   0.9176857      0.9152237      0.9139164      0.9127734      0.9116844    
   0.9107696      0.9097508      0.9084443      0.9062196      0.9033836    
   0.9004720      0.8975305      0.8956022      0.8947210      0.8931266    
   0.8920511      0.8909346      0.8889416      0.8878074      0.8876234    
   0.8870341      0.8858821      0.8848368      0.8838078      0.8833599    
   0.8829947      0.8828663      0.8833596      0.8830010      0.8832602    
   0.8824143      0.8838499      0.8883112      0.8864292      0.8814245    
   0.8776056      0.8812315      0.8841978      0.8851764      0.8852792    
   0.8857524      0.8866639      0.8875344      0.8881100      0.8885611    
   0.8895093      0.8916039      0.8942119      0.8963586      0.8980029    
   0.8991640      0.8996195      0.8998469      0.9006155      0.9018444    
   0.9034986      0.9050295      0.9062660      0.9074395      0.9085712    
   0.9097041      0.9106638      0.9114046      0.9120436      0.9118491    
   0.9116161      0.9124110      0.9139134      0.9151734      0.9157454    
   0.9158884      0.9162873      0.9167331      0.9172866      0.9180747    
   0.9188731      0.9194497      0.9199781      0.9207202      0.9214227    
   0.9220467      0.9219360      0.9219277      0.9225305      0.9235429    
   0.9246621      0.9253444      0.9257438      0.9258649      0.9256131    
   0.9258413      0.9262155      0.9267685      0.9273478      0.9278740    
   0.9284417      0.9290014      0.9294702      0.9298356      0.9302790    
   0.9310092      0.9319203      0.9326209      0.9330572      0.9334050    
   0.9335280      0.9335799      0.9337373      0.9339905      0.9342690    
   0.9345400      0.9348261      0.9351996      0.9356359      0.9361944    
   0.9368119      0.9373744      0.9378821      0.9383969      0.9389922    
   0.9395465      0.9400220      0.9404963      0.9410302      0.9415717    
   0.9420721      0.9425678      0.9430645      0.9435318      0.9441245    
   0.9447337      0.9451886      0.9455086      0.9457663      0.9458913    
   0.9461733      0.9467084      0.9473296      0.9477707      0.9482201    
   0.9486786      0.9491354      0.9496081      0.9500830      0.9505522    
   0.9510193      0.9514855      0.9519489      0.9524146      0.9528897    
